,tournament,surface,seconds_added_per_point
192,1993 Kuala Lumpur-1,Hard,4.2
193,1991-1999 Prague,Clay,4.29
194,2014 Rio de Janeiro,Clay,4.4
195,1994 Birmingham,Clay,4.49
196,1995-1996 Oporto,Clay,4.69
197,1991-1993 Genova,Clay,4.71
198,1991-1998 Bologna,Clay,4.74
199,1999 Merano,Clay,4.93
200,2009 Viña del Mar,Clay,4.96
201,1991-1994 Florence,Clay,5.08
202,2004-2011 Costa Do Sauipe,Clay,5.19
203,1992 Maceio,Clay,5.28
204,2015 Rio Open,Clay,5.38
